t1.id_string,distinct_user,cnt
0114c7cc5e6f4fcda51752f35c4c5906,2,2
1a47517acffdd4d4111d635ae0ab3f7f,2,2
5a2f7835182c84cedc1e01ee6abd5d97,7,7
87dfb10532a4db122706757605f2a1f4,2,2
d68bc9296646c569e63fb7468d168312,2,2
e1422fa60a8daaf5cb2b2743482ed938,2,2
f6fd2df853e846e6e48313a714ec868b,2,2
4479e9f8dd0562d0e8bb34da6b9d2ac8,3,3
6444b9733df7991cdad9dd75138dcb9e,2,2
782b0c4e2e16655a26c8f5db2b33c007,2,2
7f365a10566eb849756d9d790706ae2f,2,2
959f1921e4cbe3f3d41671e69f246fc0,2,2
aa9bd543c0acc8e5a01ec1be81543fbb,2,2
b98be7fc9271505c2abbc20550d0bdca,4,4
cac86669d95d74c689e9a5cff963a635,3,3
f474853503d9f2ff8e86bd4bed862ce2,2,2
13f81b799457a3f93275628e0010fadb,2,2
158860c2e0400ff3a6aee4e6091554bd,2,2
3be1ed05d0f23411aed2668c8ddf039c,3,3
482b200024139400ed13969e3b896b6e,3,3
71a22622248b0ee3ad88efed2717dbd7,2,2
79fb8fd8518fb7ce9b960e1c98b0b9bd,3,3
7f71cfdbca266a34f0a4846aae285fb7,2,2
bf048a7f41139c3729768ff387b7f17b,3,3
c16268e4b262dff6be43bae98e51bab5,4,4
c1ee52764821f9fe643250483fa0b8f7,2,2
eacad35e1f9d098d041a8a5cac816fea,2,2
04597a4f3a29a66804d200726f65d554,2,2
194e82f91b4112f23e4334961751043a,2,2
471be4c8848bcd78dd4f4e62e8786275,2,2
4782c3d66f8da96fb0a01a7f3b8b31e0,2,2
7e4ea71178c7581405e8047107d2586d,2,2
97045f1f8f8228553a2108fe419d663c,2,2
aad544cef701d5c86d870bee02f9a8a9,7,9
be271c6f18609c928a68c60ec5fb7784,2,2
ca3d7381d1f187e862e12b38474015ec,2,2
ce51c7915be4ea441a91383a94122ee1,4,4
dd8e33e3f85cf0aa651ac76c7f14316d,3,3
f9fad6c8a663dc50807041f0659846fa,6,6
148f806ea9dbb621a7e5b139eae52894,2,2
1e16f4854c3d794f91a0757771fcf38d,2,2
2727b2153312d2a6893c5ddc1a5f5eef,2,2
59eb8ca15a5fb6bfbe8f30d73f17f2d8,2,2
62cfdcf116971ccf503655f30d9c02fe,2,2
74c88affcd4fbf1d2aa1e8e102dfe48f,2,2
953d7fecb80a5c5322e56527f34b3b6d,2,2
a864ef6bd4ff3b3170bae68ead766fec,2,2
b56a6056208288210e6f63a085fb8099,2,2
d430df947541a547c4251ee2f5b55927,2,2
e3658cccb056aaed1d6d33f661801a90,2,2
e96808e6f4d6b0d65a462c1bc6864744,2,2
13d489997a8d6d952f7c3ddabd5daeae,2,2
3a53f4c3fc6c037319b88814bace7602,2,2
49f0d7e2aea5faac244014d724d9a51b,2,2
a2b411256530d72d5e7ae960ba66f494,2,2
d4406d142d8aa3048b091ef77396dcd8,2,2
de4a70cafedbc4afd0204e52728fe74f,3,3
e15d168643d2da0f0fb465eade01e62b,2,2
e24b5b18b741df5c63a55dcc902ff3ef,9,9
0f063d2514bdeb86e8cbe7b3dc26ec89,2,2
265cdd6b921a39c66e68330c8d2d5d3a,3,3
316690b8d16145e9fb9b526687899d30,2,2
